sid,hexres,hexid,hexpct
49,2,81003ffffffffff,0.003221629884114716
49,2,81013ffffffffff,0.002472820162461496
49,2,81017ffffffffff,0.1497723222141988
49,2,8101bffffffffff,0.004353687010767153
49,2,8103bffffffffff,2.5085695598457653e-5
49,2,81047ffffffffff,3.5884923467404085e-5
49,2,81067ffffffffff,0.09731345895463063
49,2,81073ffffffffff,0.4211496234793179
49,2,81093ffffffffff,0.09392621429153238
49,2,81097ffffffffff,0.12968887167053517
49,2,810cbffffffffff,0.2645715289793051
49,2,810d3ffffffffff,2.0678146981379203e-5
49,2,810f7ffffffffff,0.11815221806543466
49,2,81163ffffffffff,0.058148824951985485
49,2,81167ffffffffff,0.07533240228549415
49,2,8116bffffffffff,0.0552344959694599
49,2,8116fffffffffff,0.1228487002205782
49,2,81177ffffffffff,1
49,2,8117bffffffffff,0.04737435263486088
49,2,81183ffffffffff,0.9969956474811866
49,2,81187ffffffffff,1
49,2,8118bffffffffff,0.681762780566721
49,2,8118fffffffffff,0.8608697965660315
49,2,81193ffffffffff,0.6504127570688126
49,2,8119bffffffffff,0.4468828926623618
49,2,811a3ffffffffff,0.5261305934955538
49,2,811a7ffffffffff,0.46738470368123275
49,2,811abffffffffff,0.9998653826464803
49,2,811afffffffffff,0.6301417236281028
49,2,811b3ffffffffff,0.027664992869458137
49,2,811b7ffffffffff,0.03751704452281008
49,2,811bbffffffffff,0.21409352538870813
49,2,811c3ffffffffff,0.7928436244719488
49,2,811cbffffffffff,0.038575292055490644
49,2,811cfffffffffff,0.2977031330449026
49,2,811d3ffffffffff,0.6100129172588696
49,2,811d7ffffffffff,0.47851615075557524
49,2,811dbffffffffff,0.8845952871894075
49,2,81223ffffffffff,0.17084996266917216
49,2,81227ffffffffff,0.04821091761002824
49,2,8122bffffffffff,0.023577834740613673
49,2,8122fffffffffff,0.34558186694385434
49,2,81233ffffffffff,0.3083128585971382
49,2,81237ffffffffff,0.15078427247554615
49,2,8123bffffffffff,0.017347206409333404
49,2,81283ffffffffff,0.7009929053930923
49,2,81287ffffffffff,0.5473272290840349
49,2,8128fffffffffff,0.9102934368246792
49,2,81293ffffffffff,0.1629645939800794
49,2,81297ffffffffff,0.459478458827284
49,2,812a3ffffffffff,0.9681480186767039
49,2,812a7ffffffffff,0.46919092386647615
