sid,corals,fishes,marine_mammals,other_invertebrates,sea_turtles,seagrasses,sharks_and_rays
21,0.5641922278107199,0.3755850572804964,0.4216546393817803,0.4479130216504735,0.5852385207803114,0.9999999999999998,0.45383330981750447
22,0.6331022298563386,0.4124241400544124,0.4007987355451914,0.4607792652579571,0.6028590623778363,0.9999999999999998,0.47927023872311536
23,0.6295866503326195,0.40215972797977795,0.40722458502222225,0.46385271923680055,0.5961375410284521,0.9999999999999998,0.47079710172053596
24,0.5904035017385217,0.3862306550068878,0.42411054011453714,0.45782927077960656,0.6132144041417109,0.9999999999999998,0.46923933135720497
25,0.6443572495085322,0.44841403707119515,0.4079469601141901,0.46459696701381326,0.714109136651216,0.9999999999999998,0.5400497355666494
26,0.6458707804279066,0.44779256980028664,0.41041872215643616,0.46686441169351545,0.7227393579884165,0.9999999999999998,0.5413924249012826
27,0.6366490100467987,0.4358534073202527,0.42634301317578116,0.4729234636383426,0.7576824750560119,0.9999999999999998,0.5412225153956255
28,0.52020821706484,0.3971905021942013,0.34691611877041995,0.3910098653549518,0.49636412723501055,0.9791444890725115,0.42340013367614326
29,0.5344009131034945,0.39485747614117117,0.3975381062825861,0.42395619355254144,0.6088056232961931,0.8614382206611698,0.4681724845549581
30,0.5284874073791547,0.39012030905007766,0.4105368618350503,0.42930311092431317,0.6297187463611297,0.6791787792623528,0.47765849488411316
31,0.5937613701981999,0.4501671565821923,0.3903244574548953,0.4397471566649399,0.7253023788346619,0.9999999999999998,0.5326572659650481
32,0.602994987533285,0.43416031652603665,0.4107614342762947,0.45466684392563683,0.7457608861319357,0.9791444890725115,0.5298513362663266
33,0.5808842988252881,0.4110942874483531,0.4213390951873365,0.4530607371109576,0.7090300216166825,0.9791444890725115,0.5119390737081074
34,0.6059807150812172,0.458090128188836,0.39989396879622136,0.44805284602388806,0.7673864421047129,0.9999999999999998,0.553928370000692
35,0.6150957171631605,0.452526742880817,0.41180224640980045,0.4571671020984879,0.7926093043111296,0.9999999999999998,0.5572691406563615
36,0.6164924133905462,0.43514664332925623,0.42846716041558414,0.46606641198264986,0.7912042064932866,0.9791444890725115,0.5459021035872803
37,0.5344009246136173,0.37241087873643597,0.36416201768151135,0.40587417258369846,0.4505786758126914,0.9999999999999998,0.39400057101044317
38,0.570179075207668,0.3888405037153043,0.39870281134630403,0.43766860175138306,0.5666391770729279,0.9791444890725115,0.4504678403332766
39,0.5431652016274697,0.39077311845729507,0.4165426507394599,0.43611364553281173,0.630432177285434,0.8655961362495458,0.4800311997842459
40,0.6160439651356552,0.43976491248906907,0.3910177705188065,0.4477818092732062,0.6692304196337432,0.9999999999999998,0.5127036718646982
41,0.6178028349504993,0.43192105779418294,0.4104057872504925,0.4591393266275512,0.7111896147503527,0.9999999999999998,0.5214697937383277
42,0.5856910764453555,0.4094479158954127,0.4241148022578611,0.45456921571677306,0.700022541234348,0.9791444890725115,0.5099385427416558
43,0.620482031831187,0.45880421233901847,0.4051405984902064,0.4557328935671935,0.7669956447662682,0.9999999999999998,0.5587329065336062
44,0.6240980332519362,0.45456897373471933,0.41350148041527063,0.46110135032712796,0.7880735694926498,0.9999999999999998,0.5605036191702484
45,0.6175138971265288,0.43540269796571207,0.4289021917594353,0.4663227642881882,0.7903408806311892,0.9791444890725115,0.5467426246685136
46,0.5314994260011678,0.36714230138175075,0.36545481667188967,0.40483901284242735,0.44162958114930484,0.9999999999999998,0.388017362803452
