hex_res,n_pu,avg_area_km2,avg_width_km
1,553,400228.1354632254,632.6358632445883
2,3128,70818.10749925222,266.11671781241444
3,19503,11372.296214281218,106.64096874222973
4,129949,1707.8517308905994,41.32616278933479
