sid,hexres,hexid,hexpct
49,3,830035fffffffff,0.012253437912509511
49,3,830036fffffffff,0.02521340240365565
49,3,83011cfffffffff,0.15062680843391096
49,3,830145fffffffff,1
49,3,830162fffffffff,1
49,3,830163fffffffff,0.23767676317322986
49,3,830164fffffffff,0.28609008561050386
49,3,830166fffffffff,1
49,3,83016afffffffff,0.2560159047887659
49,3,83016cfffffffff,0.06098144702804358
49,3,8301a9fffffffff,0.008143593999424428
49,3,8301acfffffffff,0.03439842301333674
49,3,83038bfffffffff,1
49,3,83044cfffffffff,0.0010800914959468362
49,3,830641fffffffff,0.14183884170417987
49,3,830643fffffffff,0.2992248832563368
49,3,830644fffffffff,0.09140975570690076
49,3,830646fffffffff,1
49,3,83064afffffffff,1
49,3,83064bfffffffff,0.3874973975486434
49,3,83064cfffffffff,0.28576106817393443
49,3,83064efffffffff,0.1183030958647258
49,3,830661fffffffff,0.09830623405754457
49,3,830663fffffffff,0.27938221443851263
49,3,830668fffffffff,0.14185508779385927
49,3,83066afffffffff,0.14381865575281672
49,3,830671fffffffff,1
49,3,830732fffffffff,1
49,3,830734fffffffff,1
49,3,830736fffffffff,0.3628708495647065
49,3,830900fffffffff,0.3852745779130467
49,3,830902fffffffff,1
49,3,830903fffffffff,0.1140007506033134
49,3,830904fffffffff,1
49,3,830909fffffffff,0.1803525199854468
49,3,83090afffffffff,0.3932379121504919
49,3,83090bfffffffff,1
49,3,83091cfffffffff,0.22686591580688392
49,3,83091dfffffffff,0.4211648241235138
49,3,830921fffffffff,1
49,3,830923fffffffff,0.04188464743329625
49,3,830928fffffffff,0.10637783242539467
49,3,830929fffffffff,4.161267814591662e-5
49,3,83092cfffffffff,0.17250539435814166
49,3,830944fffffffff,0.07668161466319919
49,3,830945fffffffff,0.5481950472005102
49,3,830946fffffffff,1
49,3,830960fffffffff,0.3204046701602115
49,3,830962fffffffff,0.18128497237716962
49,3,830965fffffffff,0.36436448327301424
49,3,830968fffffffff,0.3311485079677995
49,3,83096afffffffff,1
49,3,83096cfffffffff,0.3634205651055711
49,3,830972fffffffff,0.12253494905688553
49,3,830973fffffffff,0.3595089121092894
49,3,830974fffffffff,1
49,3,830975fffffffff,0.5404024850695721
49,3,830c90fffffffff,0.9748198784948533
49,3,830c92fffffffff,0.1438547452751271
49,3,830c93fffffffff,0.471055724392149
49,3,830c96fffffffff,0.4519534325245422
49,3,830c9afffffffff,1
49,3,830c9efffffffff,1
49,3,830d14fffffffff,1
49,3,830f61fffffffff,1
49,3,830f62fffffffff,1
49,3,830f63fffffffff,0.2334737239549497
49,3,830f68fffffffff,0.04005854329511666
49,3,830f69fffffffff,1
49,3,830f6cfffffffff,0.01916879223140517
49,3,830f6dfffffffff,0.049015250786001115
49,3,83161bfffffffff,0.05815328691689274
49,3,831644fffffffff,0.48019414894049656
49,3,831645fffffffff,0.09388392715451738
49,3,831664fffffffff,0.02745523705903597
49,3,831666fffffffff,0.17595808042161798
49,3,831669fffffffff,0.05480267024095028
49,3,83166afffffffff,0.2003016478417811
49,3,83166bfffffffff,0.20407995813394736
49,3,83166dfffffffff,0.20462941172769836
49,3,831670fffffffff,0.8372247966794905
49,3,831671fffffffff,0.3108360862312184
49,3,831675fffffffff,0.0046524859234986955
49,3,831681fffffffff,1
49,3,831683fffffffff,0.1696768001544289
49,3,831689fffffffff,0.143309966555542
49,3,83168cfffffffff,0.12143432525407687
49,3,831693fffffffff,0.47417197983296183
49,3,83169cfffffffff,0.007565570773719445
49,3,83169efffffffff,0.09098524956991326
49,3,8316a9fffffffff,0.47121644591406325
49,3,8316abfffffffff,0.3989939711714082
49,3,8316c2fffffffff,0.5708896666566398
49,3,8316c4fffffffff,0.09396839922287052
49,3,8316c5fffffffff,0.10699386016456795
49,3,8316c6fffffffff,0.8563586436314125
49,3,8316ccfffffffff,0.07907690257338729
49,3,8316cdfffffffff,0.10622350829584593
49,3,8316d0fffffffff,0.14216101696522548
49,3,8316d2fffffffff,0.14321767671237465
49,3,8316d4fffffffff,0.28570975132549775
49,3,8316d5fffffffff,0.5718379288945841
49,3,8316e2fffffffff,0.29521156158975836
49,3,8316e3fffffffff,1
49,3,8316e6fffffffff,1
49,3,8316eafffffffff,0.15489480115704415
49,3,8316ebfffffffff,1
49,3,8316f1fffffffff,0.8579797351194605
49,3,8316f3fffffffff,0.2856727716148367
49,3,8316f5fffffffff,0.14334301243175387
49,3,83174bfffffffff,1
49,3,831784fffffffff,0.0020494386601790093
49,3,831793fffffffff,0.14564468380901982
49,3,83179efffffffff,1
49,3,8317a3fffffffff,0.03636784846217377
49,3,831810fffffffff,1
49,3,831812fffffffff,1
49,3,831813fffffffff,1
49,3,831814fffffffff,0.9906328823184172
49,3,831816fffffffff,1
49,3,83181afffffffff,1
49,3,83181bfffffffff,1
49,3,83181efffffffff,0.9345241263404908
49,3,831832fffffffff,1
49,3,831836fffffffff,1
49,3,831852fffffffff,1
49,3,831880fffffffff,0.14201630300261012
49,3,831881fffffffff,0.8563088939696537
49,3,831883fffffffff,0.14269590110378685
49,3,831884fffffffff,0.8569683546432825
49,3,831885fffffffff,1
49,3,831886fffffffff,0.8572660642400188
49,3,831888fffffffff,0.857659264049548
49,3,831889fffffffff,0.8574528584860747
49,3,83188afffffffff,0.5710388125135168
49,3,83188bfffffffff,1
49,3,83188cfffffffff,1
49,3,83188dfffffffff,0.4292002027552114
49,3,83188efffffffff,0.14363844086077748
49,3,831890fffffffff,1
49,3,831891fffffffff,0.71352508220515
49,3,831892fffffffff,0.42792294982260554
49,3,831893fffffffff,0.7135956443827912
49,3,831894fffffffff,1
49,3,831895fffffffff,1
49,3,831896fffffffff,0.5730594532091277
49,3,831898fffffffff,0.8564531728384546
49,3,831899fffffffff,0.7151062913690285
49,3,83189afffffffff,1
49,3,83189bfffffffff,0.571421417768305
49,3,83189cfffffffff,0.8572438203426773
49,3,83189dfffffffff,0.14300121966732662
49,3,83189efffffffff,1
49,3,8318a0fffffffff,1
49,3,8318a1fffffffff,1
49,3,8318a2fffffffff,1
49,3,8318a3fffffffff,1
49,3,8318a4fffffffff,1
49,3,8318a5fffffffff,1
49,3,8318a6fffffffff,1
49,3,8318a8fffffffff,0.42889822447569836
49,3,8318a9fffffffff,0.14323697544130173
49,3,8318aafffffffff,1
49,3,8318abfffffffff,0.7142895694233453
49,3,8318acfffffffff,1
49,3,8318adfffffffff,0.7129391313612022
49,3,8318aefffffffff,1
49,3,8318b1fffffffff,0.2846835784940253
49,3,8318b2fffffffff,0.2874111547681581
49,3,8318b3fffffffff,0.1436401309100974
49,3,8318b4fffffffff,0.42753278571219083
49,3,8318b5fffffffff,1
49,3,8318c0fffffffff,1
49,3,8318c1fffffffff,0.9994978802671104
49,3,8318c2fffffffff,1
49,3,8318c3fffffffff,1
49,3,8318c4fffffffff,1
49,3,8318c5fffffffff,1
49,3,8318c6fffffffff,1
49,3,8318cafffffffff,0.9245557329005382
49,3,8318cbfffffffff,1
49,3,8318cefffffffff,1
49,3,8318d0fffffffff,0.2860598311376247
49,3,8318d1fffffffff,1
49,3,8318d2fffffffff,0.7153010039413846
49,3,8318d3fffffffff,1
