sid,hexres,hexid,hexpct
49,2,820037fffffffff,0.0032216298841147165
49,2,82011ffffffffff,0.0038692353206587356
49,2,820147fffffffff,1
49,2,820167fffffffff,0.17094138312084797
49,2,82016ffffffffff,0.07320882933556727
49,2,8201affffffffff,0.004353687010767154
49,2,82038ffffffffff,2.6895090482917454e-4
49,2,82044ffffffffff,4.039413932704648e-4
49,2,820647fffffffff,0.11175834794259702
49,2,82064ffffffffff,0.12307204074561216
49,2,820667fffffffff,0.19932900239269752
49,2,82066ffffffffff,0.04126126157802171
49,2,820677fffffffff,1
49,2,820737fffffffff,0.4211496234793179
49,2,820907fffffffff,0.11451695123667059
49,2,82090ffffffffff,0.07969466017399922
49,2,82091ffffffffff,0.36208673879282804
49,2,820927fffffffff,0.30905926812962037
49,2,82092ffffffffff,0.03262383364370511
49,2,820947fffffffff,0.2800864187189598
49,2,820967fffffffff,0.14526610064626366
49,2,82096ffffffffff,0.17078674052049106
49,2,820977fffffffff,0.11146885111708184
49,2,820c97fffffffff,0.32994566089452365
49,2,820c9ffffffffff,1
49,2,820d17fffffffff,1
49,2,820f67fffffffff,0.32020532127515217
49,2,820f6ffffffffff,0.07284002463002354
49,2,82161ffffffffff,0.058148824951985485
49,2,821647fffffffff,0.2547854981224155
49,2,821667fffffffff,0.012418349742307828
49,2,82166ffffffffff,0.07968804330482619
49,2,821677fffffffff,0.16022612025472013
49,2,821687fffffffff,0.3362895478133665
49,2,82168ffffffffff,0.03543356710874012
49,2,821697fffffffff,0.47417197983296183
49,2,82169ffffffffff,0.013078215038602773
49,2,8216affffffffff,0.41839188945605926
49,2,8216c7fffffffff,0.24881931893892495
49,2,8216cffffffffff,0.023199301344958175
49,2,8216d7fffffffff,0.16218370290184173
49,2,8216e7fffffffff,0.377468939613374
49,2,8216effffffffff,0.6284038357697016
49,2,8216f7fffffffff,0.18704424616661278
49,2,82174ffffffffff,1
49,2,821787fffffffff,5.746995809878454e-4
49,2,821797fffffffff,0.03267545641849162
49,2,82179ffffffffff,0.40756392836224536
49,2,8217a7fffffffff,0.03636784846217377
49,2,821817fffffffff,0.9988309666420343
49,2,82181ffffffffff,0.9912842654674027
49,2,821837fffffffff,1
49,2,821857fffffffff,1
49,2,821887fffffffff,0.5478573802492636
49,2,82188ffffffffff,0.6948985052189114
49,2,821897fffffffff,0.774590292565975
49,2,82189ffffffffff,0.7346092418373346
49,2,8218a7fffffffff,1
49,2,8218affffffffff,0.7132332038265845
49,2,8218b7fffffffff,0.3050924283952195
49,2,8218c7fffffffff,0.9999782405388619
49,2,8218cffffffffff,0.9473997706626244
49,2,8218d7fffffffff,0.6744136877200071
49,2,8218dffffffffff,1
49,2,8218e7fffffffff,1
49,2,8218effffffffff,1
49,2,8218f7fffffffff,0.6949236749041009
49,2,821917fffffffff,0.6504127570688126
49,2,821987fffffffff,0.22473815903934866
49,2,82198ffffffffff,0.860197610359173
49,2,821997fffffffff,0.0405669855813508
49,2,82199ffffffffff,0.8385030016827548
49,2,8219a7fffffffff,0.4717256979165523
49,2,8219affffffffff,0.5476362546172986
49,2,8219b7fffffffff,0.038495924729983755
49,2,821a07fffffffff,0.6737009149443086
49,2,821a0ffffffffff,0.6521583520761272
49,2,821a17fffffffff,0.5464398636874225
49,2,821a1ffffffffff,0.9798787634377026
49,2,821a27fffffffff,0.10041158652178937
49,2,821a2ffffffffff,0.50898353080139
49,2,821a37fffffffff,0.41815040128254805
49,2,821a47fffffffff,0.4304749413823531
49,2,821a4ffffffffff,0.6052923279316872
49,2,821a57fffffffff,0.9178409362884342
49,2,821a5ffffffffff,1
49,2,821a6ffffffffff,0.1435756812029724
49,2,821a77fffffffff,0.16543979064973294
49,2,821a8ffffffffff,0.9996821271130257
49,2,821a97fffffffff,1
49,2,821a9ffffffffff,1
49,2,821aaffffffffff,1
49,2,821ac7fffffffff,0.3230277479870348
49,2,821ad7fffffffff,1
49,2,821adffffffffff,0.2828029637252664
49,2,821ae7fffffffff,1
49,2,821aeffffffffff,0.8979249314632413
49,2,821af7fffffffff,1
49,2,821b07fffffffff,0.06375520979941138
49,2,821b0ffffffffff,0.011201957192696673
49,2,821b17fffffffff,0.08136674517769794
49,2,821b2ffffffffff,1
49,2,821b4ffffffffff,0.02079984898135376
49,2,821b57fffffffff,0.020320279277961095
49,2,821b5ffffffffff,0.040720158488364015
49,2,821b67fffffffff,0.20220643300165833
49,2,821b77fffffffff,0.005385331271417966
49,2,821baffffffffff,0.2140935253887081
49,2,821c07fffffffff,1
49,2,821c17fffffffff,0.711593027181705
49,2,821c1ffffffffff,0.3598493209696401
49,2,821c27fffffffff,0.7903611188417625
49,2,821c2ffffffffff,0.9796063555072514
49,2,821c37fffffffff,1
49,2,821ca7fffffffff,0.2626519431198874
49,2,821caffffffffff,0.019801635156503773
49,2,821cc7fffffffff,0.6340327077079128
49,2,821ccffffffffff,0.1856911402153958
49,2,821cd7fffffffff,0.020605706564883818
49,2,821cdffffffffff,0.6945877229200162
49,2,821ce7fffffffff,0.3279720037248339
49,2,821ceffffffffff,0.1608284190341151
49,2,821cf7fffffffff,0.06130114974254331
49,2,821d07fffffffff,0.5501801720912306
49,2,821d0ffffffffff,0.10004943173809226
49,2,821d17fffffffff,0.9629540326632152
49,2,821d1ffffffffff,0.6324595596187844
49,2,821d47fffffffff,0.3851227369323304
49,2,821d4ffffffffff,0.28767726901664614
49,2,821d57fffffffff,0.4349613749574658
49,2,821d5ffffffffff,0.6258827280055727
49,2,821d6ffffffffff,0.7227206155909738
49,2,821d87fffffffff,0.9978951806381854
49,2,821d8ffffffffff,1
49,2,821d97fffffffff,0.36373744156812454
49,2,821d9ffffffffff,0.6645839055411492
49,2,821da7fffffffff,1
49,2,821daffffffffff,1
49,2,822207fffffffff,0.244983032048781
49,2,82220ffffffffff,0.05766102977904965
49,2,822217fffffffff,0.020931641704547577
49,2,82221ffffffffff,0.01660630838768976
49,2,822227fffffffff,0.20565114967924328
49,2,82222ffffffffff,0.36805256313939505
49,2,822237fffffffff,0.2472953461985217
49,2,822247fffffffff,0.026538088733193303
49,2,82224ffffffffff,0.2832895717170986
49,2,822257fffffffff,0.062332286545053496
49,2,822267fffffffff,0.06167666856059476
49,2,822277fffffffff,0.06159308030196045
49,2,822287fffffffff,0.0348575503322664
49,2,82228ffffffffff,0.38649923795780555
49,2,822297fffffffff,0.019585642511566196
49,2,82229ffffffffff,0.35584852624550206
49,2,8222affffffffff,0.052603959375254555
