sid,hexres,hexid,hexpct
49,2,81003ffffffffff,0.0032216298841147165
49,2,81013ffffffffff,0.002472820162461495
49,2,81017ffffffffff,0.1497723222141988
49,2,8101bffffffffff,0.004353687010767154
49,2,8103bffffffffff,2.508569559845765e-5
49,2,81047ffffffffff,3.588492346739982e-5
49,2,81067ffffffffff,0.09731345895463066
49,2,81073ffffffffff,0.4211496234793179
49,2,81093ffffffffff,0.09392621429153235
49,2,81097ffffffffff,0.14926112898105012
49,2,810cbffffffffff,0.3396525266498134
49,2,810d3ffffffffff,2.06781469813792e-5
49,2,810f7ffffffffff,0.11815221806543465
49,2,81163ffffffffff,0.058148824951985485
49,2,81167ffffffffff,0.0753324022855431
49,2,8116bffffffffff,0.055234495969459896
49,2,8116fffffffffff,0.12699153733238708
49,2,81177ffffffffff,1
49,2,8117bffffffffff,0.04737435263486088
49,2,81183ffffffffff,0.9969956474811866
49,2,81187ffffffffff,1
49,2,8118bffffffffff,0.6817627805667216
49,2,8118fffffffffff,0.865083310380168
49,2,81193ffffffffff,0.6504127570688126
49,2,8119bffffffffff,0.4501366189831913
49,2,811a3ffffffffff,0.5594157207514107
49,2,811a7ffffffffff,0.4703413009357774
49,2,811abffffffffff,0.9998653826464802
49,2,811afffffffffff,0.6360419169555191
49,2,811b3ffffffffff,0.027664992869458137
49,2,811b7ffffffffff,0.04053015989711653
49,2,811bbffffffffff,0.2140935253887081
49,2,811c3ffffffffff,0.7999473773023479
49,2,811cbffffffffff,0.03857529205549063
49,2,811cfffffffffff,0.3007420061583744
49,2,811d3ffffffffff,0.61921493325813
49,2,811d7ffffffffff,0.47851615075557485
49,2,811dbffffffffff,0.8958709180159194
49,2,81223ffffffffff,0.17084996266917213
49,2,81227ffffffffff,0.04821091761002823
49,2,8122bffffffffff,0.02357783474061367
49,2,8122fffffffffff,0.34558186694385445
49,2,81233ffffffffff,0.31430361674862317
49,2,81237ffffffffff,0.1738068265409932
49,2,8123bffffffffff,0.023154873829588845
49,2,81283ffffffffff,0.7009929053930922
49,2,81287ffffffffff,0.5534406806409791
49,2,8128fffffffffff,0.9515207916665859
49,2,81293ffffffffff,0.20012684955684903
49,2,81297ffffffffff,0.40216801062658647
49,2,812a3ffffffffff,0.9681480186767036
49,2,812a7ffffffffff,0.46919092386647593
49,2,812afffffffffff,0.8493646161892071
49,2,812b7ffffffffff,0.8653356819389302
49,2,812e3ffffffffff,0.10715990473505592
49,2,812f3ffffffffff,0.06726423286137602
49,2,812f7ffffffffff,0.3198115280287332
49,2,812fbffffffffff,0.012262895036579027
49,2,81323ffffffffff,0.21859549419538266
49,2,81327ffffffffff,0.6529775664112146
49,2,8132bffffffffff,0.04389367330637308
49,2,8132fffffffffff,0.023853334494432783
49,2,81333ffffffffff,0.08710476091105032
49,2,81337ffffffffff,0.005784890550248982
49,2,8133bffffffffff,0.7584603207862273
49,2,81343ffffffffff,0.597358330985975
49,2,81347ffffffffff,0.3456766769879135
49,2,8134bffffffffff,0.42130667827152135
49,2,8134fffffffffff,0.2753121674475726
49,2,81353ffffffffff,0.8761327847481799
49,2,81357ffffffffff,0.9260864905808343
49,2,8135bffffffffff,0.7014243083176206
49,2,81363ffffffffff,0.08748159680441626
49,2,81367ffffffffff,0.5332021760371174
49,2,8136bffffffffff,0.0439879297102763
49,2,8136fffffffffff,0.042112602454824885
49,2,81373ffffffffff,0.31104469235171356
49,2,81377ffffffffff,0.4139937448008497
49,2,8137bffffffffff,0.04660897703675373
49,2,8139bffffffffff,0.8030109642008684
49,2,813a3ffffffffff,0.4438592805896848
49,2,813a7ffffffffff,0.13816471596151617
49,2,813abffffffffff,0.019554432695809237
49,2,813afffffffffff,0.033103286815279784
49,2,813b3ffffffffff,0.8310349739736902
49,2,813b7ffffffffff,0.8511798506388168
49,2,813bbffffffffff,0.825931482641442
49,2,8142bffffffffff,0.11212325198586723
49,2,81443ffffffffff,0.989112175767983
49,2,8144bffffffffff,1
49,2,81457ffffffffff,0.3004298325434791
49,2,81463ffffffffff,0.7870110712559959
49,2,81467ffffffffff,0.8151720574382785
49,2,8146bffffffffff,0.8275997399360328
49,2,8146fffffffffff,0.1945391355601608
49,2,81473ffffffffff,0.2243426648817729
49,2,81477ffffffffff,0.4823810752449428
49,2,8147bffffffffff,0.17037053700453422
49,2,81487ffffffffff,0.6049863962595977
49,2,81493ffffffffff,0.08690905195127696
